rmsv; v; P; V
0.99136; 0.928682; 981.204; 1.0252
0.993044; 0.927483; 999.906; 1.0201
0.99469; 0.925993; 1006.49; 1.015
0.99653; 0.927386; 1014.96; 1.0099
0.998453; 0.925733; 1028.75; 1.0048
1.00017; 0.925863; 1010.59; 0.999698
1.00196; 0.926216; 1050.98; 0.994598
1.00395; 0.927875; 1072.73; 0.989497
1.00574; 0.927111; 1026.11; 0.984396
1.00751; 0.930715; 1063.15; 0.979296
1.00932; 0.931096; 1085.67; 0.974195
1.01119; 0.93424; 1103.09; 0.969095
1.01315; 0.936092; 1096.88; 0.963994
1.01492; 0.935647; 1096.59; 0.958894
1.01692; 0.9367; 1130.2; 0.953793
1.01884; 0.937063; 1130.38; 0.948693
1.02054; 0.938199; 1111.91; 0.943593
1.02269; 0.940377; 1215.31; 0.938492
1.02456; 0.941403; 1096.31; 0.933392
1.02663; 0.943237; 1200.06; 0.928291
1.02864; 0.945936; 1174.67; 0.923191
1.0305; 0.948441; 1194.22; 0.91809
1.03265; 0.950074; 1208.54; 0.91299
1.03476; 0.950954; 1227.51; 0.907889
1.03678; 0.954554; 1245.47; 0.902789
1.03878; 0.957418; 1207.97; 0.897688
1.04096; 0.961591; 1279.55; 0.892588
1.04303; 0.964104; 1264.46; 0.887487
1.04512; 0.965088; 1280.15; 0.882386
1.04715; 0.966867; 1279.95; 0.877286
1.04929; 0.966881; 1321.94; 0.872185
1.0516; 0.970763; 1306.81; 0.867085
1.05367; 0.968738; 1330.75; 0.861984
1.05585; 0.971371; 1345.92; 0.856884
1.05817; 0.97356; 1355.32; 0.851783
1.06038; 0.978143; 1395.52; 0.846683
1.06267; 0.982365; 1375.08; 0.841582
1.0649; 0.984133; 1410.6; 0.836482
1.06728; 0.985655; 1424.97; 0.831381
1.06957; 0.987328; 1443.13; 0.826281
1.07212; 0.990991; 1423.66; 0.82118
1.07451; 0.990227; 1476.35; 0.81608
1.07686; 0.991117; 1495.8; 0.810979
1.07938; 0.995202; 1491.57; 0.805879
1.08183; 0.997423; 1513.96; 0.800778
1.08426; 1.00073; 1547.01; 0.795678
1.08675; 1.00306; 1553.5; 0.790577
1.08931; 1.00332; 1549.75; 0.785477
1.09172; 1.00429; 1605.67; 0.780376
1.09432; 1.0083; 1616.65; 0.775276
1.09698; 1.00991; 1647.85; 0.770175
1.09945; 1.00985; 1599.17; 0.765075
1.10221; 1.01239; 1679.23; 0.759974
1.1048; 1.01673; 1656.82; 0.754874
1.10753; 1.01897; 1704.32; 0.749773
1.11014; 1.02166; 1718.59; 0.744673
1.11285; 1.0253; 1754.9; 0.739572
1.11545; 1.02908; 1761.89; 0.734472
1.1183; 1.03226; 1747.01; 0.729371
1.12104; 1.03473; 1827.68; 0.724271
1.12404; 1.03818; 1825.7; 0.71917
1.12665; 1.04192; 1857.6; 0.71407
1.12963; 1.04501; 1850.26; 0.708969
1.13253; 1.04663; 1906.93; 0.703869
1.13534; 1.04756; 1918.94; 0.698768
1.13835; 1.04702; 1957.33; 0.693668
1.14131; 1.05099; 1955.63; 0.688567
1.14426; 1.05679; 2001.61; 0.683467
1.14753; 1.05803; 2035.01; 0.678366
1.15045; 1.06339; 2038.45; 0.673266
1.15351; 1.06762; 2091.01; 0.668165
1.15665; 1.07019; 2071.08; 0.663065
1.15979; 1.06987; 2163.4; 0.657964
1.16293; 1.07134; 2135.2; 0.652864
1.16637; 1.07596; 2231.75; 0.647763
1.16959; 1.07528; 2175.96; 0.642663
1.17279; 1.07874; 2279.37; 0.637562
1.17621; 1.08095; 2279.41; 0.632462
1.17974; 1.08034; 2307.92; 0.627361
1.18304; 1.08785; 2374.86; 0.622261
1.18661; 1.09085; 2349.82; 0.61716
1.1902; 1.09449; 2474.32; 0.61206
1.19392; 1.09691; 2450.75; 0.606959
1.19752; 1.10224; 2503.41; 0.601859
1.20111; 1.10405; 2551.93; 0.596758
1.20459; 1.10622; 2520.51; 0.591658
1.20851; 1.10859; 2620.34; 0.586557
1.21227; 1.11449; 2654.19; 0.581457
1.21621; 1.11756; 2705.46; 0.576356
1.22015; 1.12107; 2792.05; 0.571256
1.22427; 1.12699; 2771.99; 0.566155
1.22828; 1.13043; 2802.68; 0.561055
1.23241; 1.13338; 2931.41; 0.555954
1.23628; 1.13736; 2876.66; 0.550854
1.24028; 1.14254; 2940.34; 0.545753
1.24447; 1.14403; 2966.72; 0.540653
1.24861; 1.1517; 3056.87; 0.535552
1.25285; 1.15718; 3152.28; 0.530452
1.25711; 1.16043; 3110.59; 0.525351
1.26145; 1.16529; 3248.75; 0.520251
1.2661; 1.1678; 3274.42; 0.51515
1.27061; 1.17024; 3360.7; 0.51005
1.27514; 1.17316; 3355.12; 0.504949
1.27968; 1.17975; 3412.21; 0.499849
1.28449; 1.18201; 3585.24; 0.494748
1.2891; 1.18768; 3516.83; 0.489648
1.29383; 1.19138; 3582.46; 0.484547
1.29866; 1.1938; 3766.65; 0.479447
1.30344; 1.20429; 3686.05; 0.474346
1.30852; 1.20169; 3854.95; 0.469246
1.3136; 1.207; 3982.99; 0.464145
1.31881; 1.2138; 3939.4; 0.459045
1.32409; 1.22134; 4096.86; 0.453944
1.32952; 1.22389; 4142.83; 0.448844
1.33494; 1.23197; 4241.21; 0.443743
1.34041; 1.23853; 4354.2; 0.438643
1.34604; 1.24403; 4417.58; 0.433543
1.35179; 1.24714; 4535.07; 0.428442
1.35756; 1.2484; 4609.79; 0.423342
1.3635; 1.25638; 4663.9; 0.418241
1.36963; 1.25944; 4794.36; 0.413141
1.37589; 1.26564; 5006.45; 0.40804
1.38205; 1.27376; 5052.56; 0.40294
1.38847; 1.27622; 5134.18; 0.397839
1.39485; 1.27992; 5207.02; 0.392739
1.40135; 1.2874; 5409.68; 0.387638
1.40816; 1.29578; 5549.46; 0.382538
1.41495; 1.30565; 5604.43; 0.377437
1.42214; 1.30941; 5842.62; 0.372337
1.4293; 1.31807; 5966.69; 0.367236
1.43637; 1.32036; 6064.75; 0.362136
1.44366; 1.32855; 6136.39; 0.357035
1.451; 1.33731; 6346.89; 0.351935
1.45838; 1.34122; 6467.29; 0.346834
1.46607; 1.34611; 6630.38; 0.341734
1.474; 1.35383; 6935.22; 0.336633
1.48232; 1.36735; 7149.82; 0.331533
1.49073; 1.37319; 7250.84; 0.326432
1.49935; 1.37838; 7536.56; 0.321332
1.50826; 1.38846; 7818.32; 0.316231
1.51712; 1.40085; 7950.2; 0.311131
1.52629; 1.40269; 8176.45; 0.30603
1.53543; 1.41067; 8345.9; 0.30093
1.54466; 1.41787; 8473.43; 0.295829
1.5542; 1.43187; 8882.6; 0.290729
1.56433; 1.43918; 9176.95; 0.285628
1.57454; 1.44462; 9559.55; 0.280528
1.5853; 1.45916; 9920.87; 0.275427
1.59591; 1.47071; 10075.2; 0.270327
1.60658; 1.48069; 10294.3; 0.265226
1.61794; 1.48848; 10888.1; 0.260126
1.62991; 1.50551; 11366; 0.255025
1.64206; 1.50757; 11675.8; 0.249925
1.65454; 1.52026; 12157.4; 0.244824
1.66699; 1.53693; 12376.6; 0.239724
1.67996; 1.5436; 12881.9; 0.234623
1.69334; 1.55728; 13472.7; 0.229523
1.7073; 1.57323; 14078.4; 0.224422
1.72188; 1.58336; 14845.8; 0.219322
1.73667; 1.59578; 15243.6; 0.214221
1.75246; 1.61471; 16174.2; 0.209121
1.7687; 1.62481; 16935.9; 0.20402
1.78559; 1.63975; 17568.5; 0.19892
1.80275; 1.65645; 18455.7; 0.193819
1.82067; 1.67575; 19284.6; 0.188719
1.83955; 1.69207; 20271; 0.183618
1.85898; 1.70879; 21562.1; 0.178518
1.87947; 1.72425; 22521.8; 0.173417
1.90047; 1.75393; 23645; 0.168317
1.92275; 1.77523; 25183.3; 0.163216
1.94517; 1.79123; 26068.4; 0.158116
1.96928; 1.81786; 28164.2; 0.153015
1.99492; 1.83462; 30236.6; 0.147915
2.02176; 1.86429; 32098; 0.142814
2.05005; 1.88801; 34265.4; 0.137714
2.0798; 1.91638; 36505.5; 0.132613
2.1111; 1.95074; 39321.7; 0.127513
2.14442; 1.97906; 42403.1; 0.122412
2.18032; 2.00875; 46274.1; 0.117312
2.2179; 2.03969; 49462.4; 0.112211
2.25925; 2.0745; 55001.6; 0.107111
2.30321; 2.11916; 59824.5; 0.10201
2.35076; 2.16196; 66170.2; 0.0969095
2.4023; 2.21664; 73236.1; 0.091809
2.45894; 2.27767; 82018; 0.0867085
2.52007; 2.32798; 91170.6; 0.081608
2.58786; 2.38495; 103857; 0.0765075
2.66238; 2.44636; 117258; 0.071407
2.74688; 2.53363; 136953; 0.0663065
