rmsv; v; P; V
1.00622; 0.928161; 997.149; 1.0252
1.00791; 0.928372; 1007.7; 1.0201
1.00962; 0.930366; 1024.56; 1.015
1.01144; 0.930321; 1023.09; 1.0099
1.01323; 0.930485; 1035.48; 1.0048
1.01493; 0.93301; 1025.5; 0.999698
1.01675; 0.936832; 1070.17; 0.994597
1.01848; 0.937398; 1052.23; 0.989497
1.02035; 0.939832; 1065.35; 0.984397
1.02216; 0.942299; 1076.17; 0.979296
1.02402; 0.943234; 1100.06; 0.974196
1.02587; 0.945205; 1093.82; 0.969095
1.02763; 0.945447; 1112.69; 0.963995
1.02962; 0.947518; 1117.11; 0.958894
1.03153; 0.949266; 1131.61; 0.953793
1.0335; 0.952268; 1129.04; 0.948693
1.03544; 0.952444; 1157.24; 0.943592
1.03738; 0.957411; 1159.23; 0.938492
1.03934; 0.955237; 1172.34; 0.933391
1.04125; 0.958796; 1176.66; 0.928291
1.0433; 0.963225; 1207.19; 0.92319
1.0453; 0.965741; 1199.16; 0.91809
1.04748; 0.967705; 1222.86; 0.912989
1.04956; 0.966667; 1224.71; 0.907889
1.05165; 0.967357; 1246.79; 0.902788
1.05367; 0.969144; 1254.51; 0.897688
1.05579; 0.97296; 1261.56; 0.892587
1.05794; 0.974863; 1280.99; 0.887487
1.06003; 0.976601; 1297.71; 0.882386
1.06217; 0.979505; 1300.08; 0.877286
1.06421; 0.979826; 1301.74; 0.872185
1.06641; 0.983137; 1330.61; 0.867085
1.06863; 0.986539; 1334.35; 0.861984
1.0708; 0.989213; 1373.48; 0.856884
1.07307; 0.990502; 1376.69; 0.851783
1.07536; 0.994678; 1368.33; 0.846683
1.07761; 0.994508; 1405.26; 0.841582
1.07996; 0.994128; 1434.06; 0.836482
1.08219; 0.997285; 1412.29; 0.831381
1.08453; 0.998758; 1453.12; 0.826281
1.0869; 1.00266; 1459.5; 0.82118
1.08928; 1.0061; 1471; 0.81608
1.0916; 1.0068; 1484.5; 0.810979
1.09388; 1.0098; 1509.02; 0.805879
1.09628; 1.01287; 1507.4; 0.800778
1.09863; 1.01463; 1530.25; 0.795678
1.10102; 1.01649; 1563.8; 0.790577
1.10349; 1.01604; 1581.85; 0.785477
1.10601; 1.01718; 1558.39; 0.780376
1.10852; 1.01753; 1626.6; 0.775276
1.11113; 1.022; 1629.25; 0.770175
1.11373; 1.02751; 1663.85; 0.765075
1.11629; 1.02885; 1658.19; 0.759974
1.11895; 1.03314; 1675.2; 0.754874
1.12156; 1.03531; 1717.5; 0.749773
1.12425; 1.03566; 1706.66; 0.744673
1.12677; 1.03618; 1738.61; 0.739572
1.12951; 1.04239; 1769.41; 0.734472
1.13224; 1.04313; 1793.39; 0.729372
1.13511; 1.04498; 1803.48; 0.724271
1.13793; 1.04874; 1834.1; 0.719171
1.14085; 1.05135; 1859.26; 0.71407
1.14363; 1.052; 1883.2; 0.70897
1.14657; 1.05505; 1885.05; 0.703869
1.14954; 1.05948; 1937.37; 0.698769
1.15256; 1.05995; 1950.64; 0.693668
1.15562; 1.06178; 1992.86; 0.688568
1.15867; 1.06884; 1987.3; 0.683467
1.1617; 1.07381; 2035.44; 0.678367
1.16477; 1.07408; 2036.53; 0.673266
1.16787; 1.07567; 2071.75; 0.668166
1.17091; 1.07526; 2109.46; 0.663065
1.17401; 1.07992; 2127.7; 0.657965
1.17716; 1.08416; 2140.79; 0.652864
1.1804; 1.08611; 2216.81; 0.647764
1.18374; 1.09057; 2231.95; 0.642663
1.187; 1.09537; 2232.12; 0.637563
1.19037; 1.09744; 2296.85; 0.632462
1.19376; 1.10146; 2309.21; 0.627362
1.19723; 1.10402; 2350.29; 0.622261
1.20066; 1.1082; 2386.87; 0.617161
1.20401; 1.10916; 2396.75; 0.61206
1.20771; 1.10992; 2452.6; 0.60696
1.21134; 1.11668; 2505.59; 0.601859
1.21501; 1.11875; 2533.68; 0.596759
1.21865; 1.12053; 2575.42; 0.591658
1.22248; 1.12281; 2603.11; 0.586558
1.22622; 1.12515; 2649.38; 0.581457
1.23002; 1.1306; 2679.36; 0.576357
1.23378; 1.14077; 2704.02; 0.571256
1.23765; 1.14346; 2743.89; 0.566156
1.24151; 1.14774; 2788.37; 0.561055
1.24555; 1.14752; 2872.53; 0.555955
1.24958; 1.15391; 2890.42; 0.550854
1.25367; 1.15415; 2968.3; 0.545754
1.25786; 1.15933; 3000.79; 0.540653
1.26208; 1.1602; 3023.93; 0.535553
1.26625; 1.1647; 3107.6; 0.530452
1.27062; 1.16681; 3136.11; 0.525352
1.27492; 1.17122; 3164.26; 0.520251
1.27921; 1.1786; 3240.89; 0.515151
1.28371; 1.17687; 3318.12; 0.51005
1.28837; 1.1836; 3374.71; 0.50495
1.29303; 1.18821; 3441.28; 0.499849
1.29784; 1.19479; 3501.23; 0.494749
1.30251; 1.19593; 3550.81; 0.489648
1.30731; 1.20837; 3635.93; 0.484548
1.31237; 1.21052; 3694.59; 0.479447
1.31734; 1.21328; 3742.66; 0.474347
1.3224; 1.22384; 3820.75; 0.469246
1.32754; 1.22494; 3943.86; 0.464146
1.33288; 1.22965; 3969.37; 0.459045
1.33822; 1.23838; 4094.28; 0.453945
1.34359; 1.24082; 4110.46; 0.448844
1.34913; 1.24535; 4238.34; 0.443744
1.35469; 1.25109; 4313.39; 0.438643
1.36039; 1.25215; 4397.15; 0.433543
1.36606; 1.25906; 4477.17; 0.428442
1.37188; 1.26493; 4585.48; 0.423342
1.3778; 1.27068; 4673.78; 0.418241
1.38383; 1.27357; 4762.02; 0.413141
1.39011; 1.27818; 4953.02; 0.40804
1.39628; 1.28024; 4972.81; 0.40294
1.4027; 1.28773; 5120.08; 0.397839
1.40912; 1.29836; 5177.63; 0.392739
1.41558; 1.30358; 5337.2; 0.387638
1.42236; 1.31302; 5434.96; 0.382538
1.42925; 1.31396; 5643.85; 0.377437
1.43612; 1.31865; 5683.71; 0.372337
1.44307; 1.33349; 5850.96; 0.367236
1.45035; 1.33449; 6007.02; 0.362135
1.45781; 1.34333; 6188.89; 0.357035
1.46509; 1.34627; 6249.49; 0.351934
1.47273; 1.35802; 6462.86; 0.346834
1.48062; 1.3648; 6675.28; 0.341733
1.48867; 1.37063; 6830.33; 0.336633
1.49692; 1.38321; 7074.77; 0.331532
1.50539; 1.3877; 7231.85; 0.326432
1.51399; 1.39766; 7432.44; 0.321331
1.52272; 1.39883; 7645.11; 0.316231
1.53155; 1.41033; 7782.01; 0.31113
1.54079; 1.42125; 8107.95; 0.30603
1.55024; 1.42475; 8347.75; 0.300929
1.55971; 1.43727; 8523.53; 0.295829
1.56938; 1.44549; 8817.95; 0.290728
1.57928; 1.45635; 9018.17; 0.285628
1.58978; 1.46824; 9481.81; 0.280527
1.60029; 1.47158; 9684.63; 0.275427
1.61131; 1.48636; 10099.7; 0.270326
1.62236; 1.49222; 10348.2; 0.265226
1.63397; 1.50681; 10775.6; 0.260125
1.64556; 1.51914; 11084; 0.255025
1.65764; 1.53085; 11519.4; 0.249924
1.67008; 1.539; 11959.4; 0.244824
1.68291; 1.54982; 12395.3; 0.239723
1.69616; 1.55892; 12832.8; 0.234623
1.70972; 1.57395; 13387.6; 0.229522
1.72395; 1.58337; 14026.4; 0.224422
1.7387; 1.6012; 14628.2; 0.219321
1.75337; 1.61823; 14929.5; 0.214221
1.76891; 1.63274; 15794.1; 0.20912
1.78511; 1.64905; 16574; 0.20402
1.80179; 1.66677; 17292.4; 0.198919
1.81914; 1.67171; 18097.3; 0.193819
1.83739; 1.69245; 19175.2; 0.188718
1.85593; 1.70812; 19786.7; 0.183618
1.87553; 1.73019; 21063; 0.178517
